type	en	ru	example_en	example_ru	layer	topic	note	breakdown
collocation	idle vehicle	простаивающий транспорт	We rebalance idle vehicles every morning.	Мы перераспределяем простаивающий транспорт каждое утро.	mobility	ops	idle — техническое «работает, но ничего не делает»: то же слово про двигатель на холостом ходу и про простаивающий процесс. Не «сломанный», а «доступный и не занятый».	idle — простаивающий, бездействующий · vehicle — транспортное средство
collocation	ride completion rate	доля завершённых поездок	Ride completion rate fell in the rainy week.	Доля завершённых поездок упала в дождливую неделю.	mobility	metrics	rate здесь не «скорость» и не «тариф», а доля от общего: сколько начатых поездок доехало. Цепочка из трёх существительных читается справа налево: rate чего? completion. Чего completion? ride.	ride — поездка · completion — завершение, от complete «завершить» · rate — доля, показатель
collocation	promo redemption	использование промокода	Promo redemption spiked on the first weekend.	Использование промокода подскочило в первые выходные.	mobility	growth	redemption из финансов: «предъявить к погашению». Промокод не «использован», а погашен — исчез после применения. Отсюда же redeem a voucher.	promo — промо, сокращение от promotion · redemption — погашение, использование
collocation	attribution window	окно атрибуции	We use a seven day attribution window.	Мы используем семидневное окно атрибуции.	mobility	growth	Сколько дней после клика покупка ещё засчитывается этому каналу. Window — не «окно» на экране, а временной интервал: тот же смысл в maintenance window.	attribution — атрибуция, приписывание заслуги · window — окно, интервал времени
collocation	rate plan	тарифный план	The rate plan changes on weekends.	Тарифный план меняется на выходных.	hospitality	pms	Здесь rate именно «ставка», а не «доля» — тот же корень, другое значение по контексту. Rate plan — набор условий цены, а не одна цифра.	rate — тариф, ставка · plan — план, набор условий
collocation	guest folio	счёт гостя	Charges post to the guest folio automatically.	Начисления попадают на счёт гостя автоматически.	hospitality	pms	Отраслевое слово гостиниц: folio — лист, на который записывали все траты гостя. Не bill и не invoice: folio живёт, пока гость не выехал, и пополняется.	guest — гость · folio — гостевой счёт, от латинского «лист»
collocation	room inventory	номерной фонд	Room inventory syncs with the channel manager.	Номерной фонд синхронизируется с channel manager.	hospitality	pms	inventory здесь не «инвентарь» и не «склад», а «сколько единиц доступно к продаже». То же слово про товар в магазине и про рекламные показы.	room — номер · inventory — доступный запас, фонд
collocation	no-show policy	политика незаезда	The no-show policy charges the first night.	Политика незаезда списывает первую ночь.	hospitality	pms	no-show — существительное, склеенное из «not show up». Дефис обязателен, иначе это глагол. Policy — не «политика» в смысле власти, а внутреннее правило компании.	no-show — неявка, гость не приехал · policy — правило, регламент
collocation	gather requirements	собирать требования	I gather requirements from three stakeholder groups.	Я собираю требования у трёх групп стейкхолдеров.	business	analysis	gather, а не collect: собрать разрозненное от разных людей, а не сложить готовое в кучу. Requirements почти всегда во множественном: одно требование — это ещё не постановка задачи.	gather — собирать по частям · requirements — требования
collocation	edge case	краевой случай	This edge case breaks the nightly job.	Этот краевой случай ломает ночную задачу.	business	analysis	Случай на границе допустимого: не ошибка, а редкое сочетание условий, где логика ломается. Corner case — ещё реже, когда сходятся сразу два края.	edge — край, граница · case — случай
