type	en	ru	example_en	example_ru	layer	topic	note	breakdown
collocation	a settlement file	файл расчётов	The settlement file arrives at two in the morning.	Файл расчётов приходит в два ночи.	fintech	cards	Выгрузка от платёжной системы: что и на сколько рассчитано. Основа для сверки.	settlement — расчёт · file — файл
collocation	clearing and settlement	клиринг и расчёты	Clearing and settlement run on separate cycles.	Клиринг и расчёты идут разными циклами.	fintech	cards	Два разных шага: сначала посчитали кто кому сколько, потом перевели. Русский часто сливает их в «расчёты».	clearing — клиринг, взаимозачёт · and — и · settlement — расчёт
collocation	an interchange fee	интерчейндж	The interchange fee goes to the issuer.	Интерчейндж уходит эмитенту.	fintech	cards	Комиссия, которую эквайер платит эмитенту. Interchange — «обмен между», самая крупная часть стоимости платежа.	interchange — межбанковский обмен · fee — комиссия
collocation	a scheme fee	комиссия платёжной системы	Scheme fees are separate from interchange.	Комиссии платёжной системы отдельны от интерчейнджа.	fintech	cards	Комиссия самой Visa или Mastercard, отдельно от интерчейнджа. Тот же scheme, что и в card scheme.	scheme — платёжная система · fee — комиссия
collocation	a merchant discount rate	ставка торговой уступки	The merchant discount rate covers all three fees.	Ставка торговой уступки покрывает все три комиссии.	fintech	cards	Полная ставка, которую платит торговец. discount здесь не «скидка покупателю», а «уступка с оборота». Сокращают до MDR.	merchant — торговец · discount — уступка · rate — ставка
collocation	a chargeback	чарджбэк	One chargeback can cost more than the sale.	Один чарджбэк может стоить дороже продажи.	fintech	disputes	Принудительный возврат по инициативе держателя карты, через его банк. Одним словом. Не то же, что refund от торговца.	charge — списание · back — обратно
collocation	raise a dispute	открыть диспут	The cardholder raised a dispute after a month.	Держатель карты открыл диспут через месяц.	fintech	disputes	Тот же raise, что и в raise a concern: вынести вопрос на рассмотрение. Первый шаг перед чарджбэком.	raise — поднять, инициировать · a dispute — спор
collocation	represent a chargeback	оспорить чарджбэк	We represent the chargeback with delivery proof.	Мы оспариваем чарджбэк доказательством доставки.	fintech	disputes	Ловушка: здесь НЕ «представлять» и НЕ «представительствовать», а «подать документы заново». Существительное — representment.	represent — представить повторно, re + present · a chargeback — чарджбэк
collocation	a chargeback reason code	код причины чарджбэка	This chargeback reason code means goods not received.	Этот код причины чарджбэка значит товар не получен.	fintech	disputes	Четыре существительных цепочкой, читается справа налево. Код определяет, какие доказательства нужны для оспаривания.	chargeback — чарджбэк · reason — причина · code — код
collocation	liability shift	перенос ответственности	Three domain secure triggers liability shift.	Три-D Secure запускает перенос ответственности.	fintech	disputes	Кто несёт убыток при фроде: при пройденной аутентификации ответственность переезжает с торговца на эмитента. Без артикля.	liability — ответственность · shift — сдвиг, перенос
collocation	a refund	возврат	A refund is not the same as a chargeback.	Возврат это не то же самое, что чарджбэк.	fintech	disputes	Возврат по инициативе ТОРГОВЦА, добровольно. Пара к chargeback, где решает банк держателя.	re- — обратно · fund — средства
collocation	three domain secure	технология 3-D Secure	Three domain secure adds a challenge step.	Три-D Secure добавляет шаг подтверждения.	fintech	security	Три участника: эмитент, эквайер и система между ними. Пишется 3-D Secure, читается как «три-ди», а не «три-дэ».	three — три · domain — домен, участник · secure — защищённый
collocation	card tokenisation	токенизация карты	Card tokenisation replaces the number with a token.	Токенизация карты заменяет номер токеном.	fintech	security	Номер карты заменяется бессмысленной строкой. Британское -isation. Смысл — вынести реальные данные за периметр.	card — карта · tokenisation — замена на токен
collocation	a payment token	платёжный токен	The payment token is useless outside our shop.	Платёжный токен бесполезен вне нашего магазина.	fintech	security	Строка вместо номера карты: украдут — не пригодится. Token изначально «жетон в метро» — предмет, замещающий ценность.	payment — платёж · token — жетон, заменитель
collocation	cardholder data	данные держателя карты	Cardholder data never touches our servers.	Данные держателя карты не попадают на наши серверы.	fintech	security	cardholder одним словом. Data здесь неисчисляемое и без артикля. Именно эти данные и защищает PCI DSS.	cardholder — держатель карты · data — данные
collocation	reduce scope for compliance	сузить границы соответствия	Tokenisation reduces our scope for compliance.	Токенизация сужает наши границы соответствия.	fintech	security	Тот же scope, что и в solution scope: чем меньше систем касаются данных карт, тем меньше проверять. Compliance неисчисляемое.	reduce — сократить · scope — границы · for compliance — для соответствия
collocation	a ledger entry	проводка в реестре	Every payment creates one ledger entry per side.	Каждый платёж создаёт по одной проводке в реестре на каждую сторону.	fintech	ledger	entry здесь «запись в книге», не «вход». Ledger — бухгалтерская книга, отсюда же «леджер» в блокчейне.	ledger — реестр, главная книга · entry — запись
collocation	double entry bookkeeping	двойная запись	Double entry bookkeeping keeps the ledger balanced.	Двойная запись держит реестр сбалансированным.	fintech	ledger	Каждая операция пишется дважды: в дебет и в кредит. Bookkeeping — три пары двойных букв подряд: oo, kk, ee.	double — двойной · entry — запись · bookkeeping — ведение книг
collocation	post a transaction	провести транзакцию	We post the transaction at end of day.	Мы проводим транзакцию в конце дня.	fintech	ledger	post здесь не «отправить» и не «пост»: бухгалтерское «занести в реестр». Отсюда posting date — дата проводки.	post — провести, занести в книгу · a transaction — транзакция
collocation	a pending transaction	незавершённая операция	A pending transaction is not yet posted.	Незавершённая операция ещё не проведена.	fintech	ledger	Авторизована, но не рассчитана. От pend «висеть» — то же в pending review. Влияет на доступный остаток, но не на реальный.	pending — ожидающий, в подвешенном состоянии · transaction — транзакция
collocation	reconcile accounts	сверять счета	We reconcile accounts against the settlement file.	Мы сверяем счета с файлом расчётов.	fintech	ledger	reconcile буквально «примирить»: два источника должны сойтись. Существительное — reconciliation, сокращают до recon.	reconcile — сверить, привести к согласию · accounts — счета
collocation	a reconciliation break	расхождение при сверке	One reconciliation break took two days to find.	Одно расхождение при сверке искали два дня.	fintech	ledger	break здесь «место, где не сошлось». Не «перерыв» и не «поломка» — специальный термин сверки.	reconciliation — сверка · break — расхождение, разрыв
collocation	an available balance	доступный остаток	The available balance excludes pending holds.	Доступный остаток не включает холды.	fintech	ledger	Не то же, что реальный остаток: холды уже вычтены. Именно эту цифру видит клиент в приложении.	available — доступный · balance — остаток
collocation	funds availability	доступность средств	Funds availability depends on the payment rail.	Доступность средств зависит от платёжного канала.	fintech	ledger	funds всегда во множественном в финансовом смысле: «a fund» — это фонд, другое слово. Без артикля.	funds — средства · availability — доступность
collocation	a nostro account	счёт ностро	Our nostro account sits with the correspondent bank.	Наш счёт ностро лежит в банке-корреспонденте.	fintech	ledger	Наш счёт в чужом банке. Из итальянской банковской традиции — оттуда пришла вся двойная запись.	nostro — «наш» по-итальянски · account — счёт
collocation	a vostro account	счёт востро	A vostro account is their money held by us.	Счёт востро это их деньги у нас.	fintech	ledger	Зеркало к nostro: чужой счёт у нас. Один и тот же счёт называется по-разному в зависимости от того, кто говорит.	vostro — «ваш» по-итальянски · account — счёт
collocation	a suspense account	счёт невыясненных сумм	Unmatched payments land in a suspense account.	Несопоставленные платежи попадают на счёт невыясненных сумм.	fintech	ledger	Куда кладут деньги, пока не разобрались, чьи они. От suspend «подвесить» — то же в pending.	suspense — подвешенное состояние · account — счёт
collocation	know your customer	идентификация клиента	Know your customer checks run before the first payment.	Проверки идентификации клиента идут до первого платежа.	fintech	compliance	Повелительное наклонение как название процедуры. Сокращают до KYC и произносят по буквам.	know — знай · your customer — своего клиента
collocation	anti money laundering	противодействие отмыванию	Anti money laundering rules drive the reporting.	Правила противодействия отмыванию определяют отчётность.	fintech	compliance	laundering от laundry «прачечная» — метафора стирки грязных денег есть и в русском. Сокращают до AML.	anti — против · money — деньги · laundering — отмывание
collocation	sanctions screening	проверка по санкционным спискам	Sanctions screening blocks the payment instantly.	Проверка по санкционным спискам блокирует платёж мгновенно.	fintech	compliance	screening от screen «сито, экран»: прогоняют через фильтр. Sanctions во множественном.	sanctions — санкции · screening — просеивание, проверка
collocation	a false positive	ложное срабатывание	Most sanctions alerts are a false positive.	Большинство санкционных срабатываний ложные.	fintech	compliance	Система сказала «подозрительно», а всё чисто. Термин из медицины и статистики. Пара — false negative, гораздо опаснее.	false — ложный · positive — положительный результат
collocation	enhanced due diligence	углублённая проверка	High risk clients need enhanced due diligence.	Клиентам высокого риска нужна углублённая проверка.	fintech	compliance	due diligence — устойчивая пара «надлежащая осмотрительность», отдельно почти не разбирается. Сокращают до EDD.	enhanced — усиленный · due diligence — должная проверка
collocation	a suspicious activity report	сообщение о подозрительной операции	Compliance filed a suspicious activity report.	Комплаенс подал сообщение о подозрительной операции.	fintech	compliance	Формальное уведомление регулятору. Сокращают до SAR. Клиенту о нём сообщать запрещено.	suspicious — подозрительный · activity — деятельность · report — сообщение
collocation	an audit trail	журнал аудита	The audit trail must survive seven years.	Журнал аудита должен храниться семь лет.	fintech	compliance	trail здесь «цепочка следов»: кто что когда сделал, восстановимо целиком. Не «журнал» в смысле файла, а свойство системы.	audit — аудит · trail — след, тропа
collocation	strong customer authentication	усиленная аутентификация клиента	Strong customer authentication needs two factors.	Усиленная аутентификация клиента требует двух факторов.	fintech	compliance	Два фактора из трёх: знание, владение, свойство. Требование PSD2. Сокращают до SCA.	strong — усиленный · customer — клиент · authentication — аутентификация
collocation	an exemption from authentication	исключение из аутентификации	Low value payments claim an exemption from authentication.	Мелкие платежи заявляют исключение из аутентификации.	fintech	compliance	exemption от exempt «освобождать» — законное право не проверять. Предлог from обязателен.	exemption — исключение, освобождение · from — от · authentication — аутентификации
collocation	open banking	открытый банкинг	Open banking lets a third party read the balance.	Открытый банкинг позволяет третьей стороне видеть остаток.	fintech	rails	Банк обязан отдавать данные клиента третьим сторонам по его согласию. Banking — существительное на -ing, без артикля.	open — открытый · banking — банковское дело
collocation	a payment rail	платёжный канал	Choosing the payment rail decides the settlement time.	Выбор платёжного канала определяет время расчёта.	fintech	rails	Метафора рельсов: инфраструктура, по которой едут деньги. SWIFT, SEPA, карты — разные rails.	payment — платёж · rail — рельс
collocation	a wire transfer	банковский перевод	A wire transfer settles the same day.	Банковский перевод рассчитывается в тот же день.	fintech	rails	Историческое: перевод по телеграфу. Отсюда «wire me the money». Медленный и дорогой по сравнению с instant.	wire — провод, телеграф · transfer — перевод
collocation	a direct debit	прямое списание	A direct debit pulls money on a schedule.	Прямое списание снимает деньги по расписанию.	fintech	rails	Получатель сам списывает по данному заранее согласию. Debit — списание, credit — зачисление; в банковском смысле, а не «дебетовая карта».	direct — прямой · debit — списание
collocation	instant payments	мгновенные платежи	Instant payments settle in under ten seconds.	Мгновенные платежи проходят меньше чем за десять секунд.	fintech	rails	Расчёт в секунды и круглосуточно, в отличие от wire. Без артикля: категория, а не отдельный платёж.	instant — мгновенный · payments — платежи
collocation	a payment initiation	инициирование платежа	Payment initiation moved to the bank application.	Инициирование платежа переехало в приложение банка.	fintech	rails	Третья сторона запускает платёж от имени клиента — сердце open banking. Сокращают до PIS.	payment — платёж · initiation — инициирование
collocation	a virtual account	виртуальный счёт	Each client gets a virtual account number.	Каждый клиент получает номер виртуального счёта.	fintech	rails	Номер, привязанный к реальному счёту: помогает опознать плательщика. Денег сам не держит.	virtual — виртуальный · account — счёт
collocation	buy now pay later	оплата частями	Buy now pay later shifts credit risk to the provider.	Оплата частями переносит кредитный риск на провайдера.	fintech	rails	Четыре слова в повелительном наклонении как название продукта. Сокращают до BNPL. Порядок слов фиксирован.	buy — купи · now — сейчас · pay — плати · later — позже
collocation	a payment gateway	платёжный шлюз	The payment gateway forwards the request to the processor.	Платёжный шлюз передаёт запрос в процессинг.	fintech	rails	Точка входа для торговца: принимает данные карты и передаёт дальше. Gateway — «ворота между сетями».	payment — платёж · gateway — шлюз, ворота
collocation	a decline rate	доля отказов	Our decline rate rose after the rule change.	Наша доля отказов выросла после изменения правил.	fintech	metrics	Тот же rate «доля», что и в ride completion rate. Decline здесь существительное «отказ», а не глагол «снижаться».	decline — отказ · rate — доля
collocation	an approval rate	доля одобрений	A one point approval rate gain pays for the project.	Один пункт доли одобрений окупает проект.	fintech	metrics	Зеркало decline rate: вместе дают сто процентов. Главная метрика для торговца.	approval — одобрение · rate — доля
collocation	a soft decline	мягкий отказ	A soft decline can be retried with authentication.	Мягкий отказ можно повторить с аутентификацией.	fintech	metrics	Отказ, который можно исправить и повторить: например, нужна аутентификация. Повторная попытка имеет смысл.	soft — мягкий · decline — отказ
collocation	a hard decline	жёсткий отказ	Never retry a hard decline automatically.	Никогда не повторяй жёсткий отказ автоматически.	fintech	metrics	Отказ окончательный: карта закрыта, счёт заблокирован. Повторять запрещено правилами систем.	hard — жёсткий · decline — отказ
collocation	transaction volume	объём транзакций	Transaction volume doubles every December.	Объём транзакций удваивается каждый декабрь.	fintech	metrics	volume здесь про сумму или количество, а не про громкость. Без артикля: показатель, а не событие.	transaction — транзакция · volume — объём
collocation	an average ticket	средний чек	The average ticket fell after the promotion.	Средний чек упал после акции.	fintech	metrics	ticket в торговле — «чек, счёт», не «билет». Средняя сумма одной покупки.	average — средний · ticket — чек, здесь сумма покупки
collocation	a fraud rate	уровень фрода	The fraud rate must stay under the scheme threshold.	Уровень фрода должен оставаться ниже порога платёжной системы.	fintech	metrics	fraud неисчисляемое, без артикля внутри оборота. Считается в базисных пунктах, а не в процентах.	fraud — мошенничество · rate — доля
collocation	a risk score	скоринговый балл риска	A high risk score sends the payment to review.	Высокий балл риска отправляет платёж на проверку.	fintech	metrics	score здесь «числовая оценка», как в credit score. Не «счёт в игре» и не «партитура», хотя это то же слово.	risk — риск · score — балл
collocation	a chargeback ratio	доля чарджбэков	The chargeback ratio decides the scheme programme.	Доля чарджбэков определяет попадание в программу платёжной системы.	fintech	metrics	ratio, а не rate: отношение чарджбэков к транзакциям. Превышение порога системы ведёт к штрафам.	chargeback — чарджбэк · ratio — отношение, доля
collocation	settle in a currency	рассчитываться в валюте	We settle in euro but bill in local currency.	Мы рассчитываемся в евро, но выставляем в местной валюте.	fintech	fx	Тот же settle, что и в settlement. Предлог in для валюты расчёта. Может отличаться от валюты платежа.	settle — рассчитываться · in — в · a currency — валюта
