type	en	ru	example_en	example_ru	layer	topic	note	breakdown
phrase	in my experience	по моему опыту	In my experience that never works.	По моему опыту это никогда не работает.	social	opinion	Предлог in, не from: опыт — пространство, внутри которого ты судишь. Experience здесь неисчисляемое, без артикля.	in — в · my experience — моём опыте
phrase	the way I see it	как я это вижу	The way I see it we have two options.	Как я это вижу, у нас два варианта.	social	opinion	Буквально «тот способ, каким я это вижу». Артикль the обязателен. Подаёт мнение как одну из версий, а не как истину.	the way — способ · I see it — я это вижу
phrase	it strikes me as odd	мне это кажется странным	It strikes me as odd that nobody asked.	Мне кажется странным, что никто не спросил.	social	opinion	strike про впечатление — «поражает». Конструкция strike someone AS something: без as распадается. Odd мягче, чем strange.	it strikes — оно ударяет · me — меня · as — как · odd — странное
collocation	have mixed feelings about	испытывать смешанные чувства	I have mixed feelings about the change.	У меня смешанные чувства насчёт изменения.	social	opinion	Feelings всегда во множественном: одно чувство смешанным быть не может. Способ сказать «и да и нет», не выбирая сторону.	have — иметь · mixed — смешанные · feelings — чувства · about — по поводу
phrase	that is exactly my point	в этом и суть	That is exactly my point about the cost.	В этом и суть насчёт стоимости.	social	opinion	point снова «довод». Так подхватывают чужие слова как подтверждение своей позиции. Exactly усиливает совпадение.	that is — это есть · exactly — именно · my point — мой довод
collocation	get to the point	перейти к сути	Let us get to the point quickly.	Давай быстро перейдём к сути.	social	structure	Тот же point, но здесь «суть дела». Артикль the: суть у разговора одна. Может звучать как упрёк в многословии.	get to — добраться до · the point — суть
collocation	on the one hand	с одной стороны	On the one hand it is cheaper.	С одной стороны, это дешевле.	social	structure	Оборот с обязательным the. Открывает противопоставление и требует продолжения: сказав его, ты обязан дать вторую сторону.	on — на · the one hand — одной руке
collocation	on the other hand	с другой стороны	On the other hand it takes longer.	С другой стороны, это дольше.	social	structure	Вторая половина пары. Может стоять и без первой — тогда просто вводит возражение. The other, не another: рук ровно две.	on — на · the other hand — другой руке
collocation	having said that	при этом, тем не менее	Having said that, the risk is real.	При этом риск реальный.	social	structure	Perfect Participle: «сказав это, тем не менее». Разворачивает собственную мысль на противоположную. Формальнее, чем but.	having said — сказав · that — то
collocation	as a matter of fact	на самом деле	As a matter of fact I already did it.	На самом деле я это уже сделал.	social	structure	Вводит уточнение, часто неожиданное для собеседника. Не «на самом деле» в смысле возражения, а «более того».	as — как · a matter — вопрос, дело · of fact — факта
collocation	in other words	другими словами	In other words we need more time.	Другими словами, нам нужно больше времени.	social	structure	Без артикля: words во множественном и неопределённые. Вводит перефразировку, когда первая формулировка не сработала.	in — в · other — другие · words — слова
collocation	for what it is worth	на всякий случай замечу	For what it is worth I would wait.	На всякий случай замечу: я бы подождал.	social	structure	Буквально «насколько это ценно» — заранее снижает вес собственного мнения. Оговорка скромности, часто перед советом.	for — за · what it is worth — сколько это стоит
collocation	to sum up	подводя итог	To sum up we agree on the scope.	Подводя итог: по объёму мы согласны.	social	structure	sum up — «сложить в сумму», отсюда «подвести итог». Инфинитив цели в начале предложения. В речи чаще so, в письме — to sum up.	to — частица инфинитива · sum up — подытожить
phrase	I am sorry to hear that	жаль это слышать	I am sorry to hear that about your father.	Жаль слышать это о твоём отце.	social	empathy	Инфинитив, потому что жаль именно услышанного, прямо сейчас. Стандартный отклик на плохую новость; без него ответ звучит холодно.	I am sorry — мне жаль · to hear — слышать · that — то
phrase	that must be tough	должно быть тяжело	That must be tough on the whole team.	Должно быть, это тяжело всей команде.	social	empathy	must здесь не долженствование, а уверенное предположение: «наверняка тяжело». Одна из самых частых функций must в живой речи.	that — то · must be — должно быть · tough — тяжело
phrase	good for you	молодец, рад за тебя	You got the job? Good for you.	Ты получил работу? Молодец.	social	empathy	Искренняя похвала — но при сухой интонации превращается в сарказм. Одна из фраз, где тон важнее слов.	good — хорошо · for you — для тебя
phrase	no worries at all	совсем не проблема	No worries at all, it happens.	Совсем не проблема, бывает.	social	empathy	Австралийское по происхождению, стало общим. At all усиливает отрицание и ставится в конец. Ответ на извинение или благодарность.	no worries — без забот · at all — совсем
collocation	fair to say	справедливо сказать	It is fair to say we underestimated it.	Справедливо сказать, что мы это недооценили.	social	opinion	Сокращение от it is fair to say. Вводит осторожное обобщение: утверждаешь, но оставляешь место возражению.	fair — справедливо · to say — сказать
