type	en	ru	example_en	example_ru	layer	topic	note	breakdown
collocation	a hard deadline	жёсткий срок	The audit is a hard deadline, not a target.	Аудит это жёсткий срок, а не ориентир.	business	planning	hard здесь «не сдвигается», противоположность soft deadline. Не про сложность. Deadline буквально «линия смерти» — из лагерной охраны.	a hard — жёсткий · deadline — крайний срок
collocation	be accountable for	отвечать за результат	I am accountable for the delivery date.	Я отвечаю за дату поставки.	business	ownership	От account «отчёт»: тот, кто будет отчитываться. Сильнее, чем responsible: responsible делает, accountable отвечает головой.	be — быть · accountable — подотчётный · for — за что
collocation	hand something over	передать дела	He handed the project over before leaving.	Он передал проект перед уходом.	business	ownership	Разделяемый: hand it over. Существительное — a handover, передача дел. Over передаёт переход границы владения.	hand over — передать из рук в руки · something — что-то
collocation	sign something off	утвердить, подписать	The sponsor signed the budget off.	Спонсор утвердил бюджет.	business	ownership	off = «закрыть вопрос». Не просто подписать, а дать финальное одобрение. Существительное — sign-off с дефисом.	sign off — утвердить подписью · something — что-то
collocation	get buy-in from	получить поддержку от	We need buy-in from the finance team.	Нам нужна поддержка финансовой команды.	business	ownership	buy-in буквально «покупка участия»: человек не просто согласился, а вложился. Дефис обязателен — без него это глагол buy in.	get — получить · buy-in — поддержку, согласие · from — от кого
phrase	to give you some context	чтобы дать контекст	To give you some context, we started in May.	Чтобы дать контекст: мы начали в мае.	business	presenting	Инфинитив цели в начале фразы. Context неисчисляемое, поэтому some, а не a. Стандартный зачин перед объяснением.	to give — чтобы дать · you — тебе · some context — некоторый контекст
phrase	the short answer is	короткий ответ	The short answer is yes, with conditions.	Короткий ответ: да, с условиями.	business	presenting	Артикль the: ответ один и конкретный. Формула для тех, кому нужен вывод, а не рассуждение. Дальше часто идёт the long answer is.	the short — короткий · answer — ответ · is — есть
collocation	at a high level	на верхнем уровне	At a high level the design is simple.	На верхнем уровне решение простое.	business	presenting	Предлог at для уровня абстракции. Не «на высоком уровне качества», а «без деталей». Противоположность — in detail.	at — на · a high level — высоком уровне
collocation	drill down into	углубиться в	Let us drill down into the numbers.	Давайте углубимся в цифры.	business	presenting	Метафора бурения: от общего к деталям. Пара к at a high level. Оба предлога нужны: down into.	drill down — бурить вниз · into — внутрь чего
collocation	a trade-off between	компромисс между	There is a trade-off between speed and cost.	Есть компромисс между скоростью и стоимостью.	business	decision	trade-off буквально «обменять одно на другое»: не «золотая середина», а осознанная плата. Дефис обязателен.	a trade-off — компромисс, обмен · between — между
collocation	weigh up the options	взвесить варианты	We weighed up the options for a week.	Мы неделю взвешивали варианты.	business	decision	up добавляет завершённость: не «взвешивать», а «взвесить и решить». Британское; американцы скажут weigh the options.	weigh up — взвесить · the options — варианты
collocation	make a call on	принять решение по	Someone has to make a call on this.	Кто-то должен принять решение по этому.	business	decision	call здесь «решение судьи» — из спорта. Не «позвонить». Отсюда же it is your call — «тебе решать».	make a call — принять решение · on — по какому вопросу
collocation	a decision maker	лицо, принимающее решение	Who is the decision maker on this contract?	Кто принимает решение по этому контракту?	business	decision	Решения в английском «делают», не «принимают»: make a decision. Отсюда и maker. Пишется раздельно или через дефис, оба варианта живы.	a decision — решение · maker — тот, кто делает
collocation	get the green light	получить добро	We got the green light from compliance.	Мы получили добро от комплаенса.	business	decision	Метафора светофора, та же что в русском. Артикль the: свет один и конкретный. Обратное — a red light или be blocked.	get — получить · the green light — зелёный свет
collocation	put on hold	поставить на паузу	We put the project on hold until Q3.	Мы поставили проект на паузу до третьего квартала.	business	decision	Из телефонии: держать линию. Отсюда «поставить на паузу». Разделяемый с объектом: put it on hold.	put — поставить · on hold — на удержание
collocation	onboard a new hire	ввести нового сотрудника	We onboard new hires every second Monday.	Мы вводим новых сотрудников каждый второй понедельник.	business	people	hire как существительное — «нанятый человек», не «наём». Onboard из «взять на борт» — та же авиационная метафора, что и в on board.	onboard — вводить в курс дела · a new hire — новый сотрудник
collocation	a direct report	прямой подчинённый	She has four direct reports now.	У неё сейчас четыре прямых подчинённых.	business	people	report здесь существительное «тот, кто отчитывается тебе», а не «отчёт». Одна из самых сбивающих с толку конверсий в офисном английском.	a direct — прямой · report — подчинённый
collocation	a stakeholder	заинтересованная сторона	Every stakeholder must review the draft.	Каждая заинтересованная сторона должна посмотреть черновик.	business	people	Тот, у кого есть интерес в исходе — от stake «кол, ставка». Шире, чем shareholder: доля не обязательно денежная.	a stake — доля, ставка · holder — держатель
collocation	cross-functional team	кросс-функциональная команда	This is a cross-functional team of six.	Это кросс-функциональная команда из шести человек.	business	people	cross- как приставка «через границы»: люди из разных функций. Дефис в приставке обязателен.	cross — поперёк · functional — функциональный · team — команда
collocation	a subject matter expert	эксперт предметной области	Ask the subject matter expert about tax.	Спроси эксперта предметной области про налоги.	business	people	subject matter — устойчивая пара «предмет обсуждения», отдельно почти не встречается. Сокращают до SME и произносят по буквам.	subject matter — предметная область · expert — эксперт
collocation	give feedback on	дать обратную связь по	Please give feedback on the draft today.	Пожалуйста, дай обратную связь по черновику сегодня.	business	people	feedback неисчисляемое: «a feedback» и «feedbacks» не существуют. Из техники — сигнал обратной связи. Предлог on задаёт тему.	give — дать · feedback — обратная связь · on — по какому вопросу
collocation	a performance review	оценка результатов	My performance review is next Thursday.	Моя оценка результатов в следующий четверг.	business	people	performance здесь не «выступление», а «как ты работаешь». Review — регулярная процедура, а не единичный отзыв.	performance — результативность · review — обзор, оценка
collocation	meet expectations	соответствовать ожиданиям	The vendor did not meet our expectations.	Поставщик не соответствовал нашим ожиданиям.	business	people	Тот же meet, что и в meet a deadline: «попасть в заданное». Expectations во множественном — их всегда несколько.	meet — соответствовать · expectations — ожидания
collocation	cut costs	сокращать расходы	They cut costs across every department.	Они сократили расходы во всех отделах.	business	finance	Прямая метафора: расходы режут. Costs во множественном — это статьи, а не сумма. Мягче — reduce costs.	cut — резать · costs — расходы
collocation	stay within budget	уложиться в бюджет	We stayed within budget this quarter.	Мы уложились в бюджет в этом квартале.	business	finance	within, а не in: подчёркивает границу, за которую нельзя. Budget без артикля в этом обороте.	stay — оставаться · within — внутри · budget — бюджет
collocation	a cost driver	драйвер затрат	Support is the biggest cost driver here.	Поддержка тут самый большой драйвер затрат.	business	finance	driver здесь не «водитель», а «фактор влияния» — то, от чего расходы растут. Часто во множественном: cost drivers.	cost — затраты · driver — то, что движет
collocation	break even	выйти в ноль	The product breaks even after eight months.	Продукт выходит в ноль через восемь месяцев.	business	finance	Точка, где доходы сравнялись с расходами: «вышел вровень». Без артикля. Как существительное — break-even point.	break — сломать, пересечь · even — ровно, вровень
collocation	a recurring revenue	повторяющаяся выручка	Subscriptions give us recurring revenue.	Подписки дают нам повторяющуюся выручку.	business	finance	recurring от recur «повторяться» — выручка, приходящая снова без новой продажи. Revenue неисчисляемое, артикль здесь по смыслу «вид выручки».	recurring — повторяющийся · revenue — выручка
